district,crop_name,disease_name,risk_level,reported_cases,date,recommended_action
Nellore,Groundnut,Bud Necrosis,Medium,136,2025-02-22,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Nellore,Cotton,Whitefly,High,288,2025-02-22,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Thanjavur,Groundnut,Tikka Leaf Spot,Low,7,2025-02-23,Spray Carbendazim @ 1 g/L + Mancozeb @ 2 g/L or Hexaconazole @ 1 mL/L.
Coimbatore,Sugarcane,Smut,High,50,2025-02-24,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Tumakuru,Wheat,Leaf Blight,Low,14,2025-02-27,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Mandya,Groundnut,Red Hairy Caterpillar,Low,5,2025-02-28,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Khammam,Sugarcane,Smut,High,27,2025-03-01,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Khammam,Groundnut,Red Hairy Caterpillar,Low,32,2025-03-01,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Coimbatore,Rice,Bacterial Leaf Blight,Low,7,2025-03-01,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Nalgonda,Rice,Brown Plant Hopper (BPH),Medium,55,2025-03-03,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Nizamabad,Sugarcane,Sugarcane Aphids,Medium,183,2025-03-03,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Cuddalore,Maize,Turcicum Leaf Blight,Critical,155,2025-03-04,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Nalgonda,Rice,Blast Disease,Low,8,2025-03-04,Spray Tricyclazole 75 WP @ 0.6 g/L; avoid excess nitrogen application.
Coimbatore,Maize,Turcicum Leaf Blight,Medium,79,2025-03-04,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Coimbatore,Maize,Fall Armyworm,Medium,254,2025-03-06,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Chittoor,Maize,Turcicum Leaf Blight,Low,34,2025-03-10,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Belagavi,Sugarcane,Smut,Critical,179,2025-03-14,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Kurnool,Cotton,Whitefly,Medium,126,2025-03-14,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Thanjavur,Groundnut,Bud Necrosis,Medium,284,2025-03-16,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Chittoor,Rice,Brown Plant Hopper (BPH),High,117,2025-03-16,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Thanjavur,Groundnut,Bud Necrosis,Medium,145,2025-03-18,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Chittoor,Maize,Turcicum Leaf Blight,Medium,23,2025-03-18,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Thanjavur,Groundnut,Red Hairy Caterpillar,Medium,38,2025-03-19,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Tumakuru,Maize,Fall Armyworm,Critical,488,2025-03-19,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Cuddalore,Sugarcane,Smut,Low,16,2025-03-22,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Erode,Rice,Bacterial Leaf Blight,Medium,12,2025-03-24,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Nizamabad,Groundnut,Red Hairy Caterpillar,Medium,26,2025-03-26,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Chittoor,Groundnut,Tikka Leaf Spot,Low,5,2025-03-26,Spray Carbendazim @ 1 g/L + Mancozeb @ 2 g/L or Hexaconazole @ 1 mL/L.
Karimnagar,Rice,Blast Disease,Medium,5,2025-03-30,Spray Tricyclazole 75 WP @ 0.6 g/L; avoid excess nitrogen application.
Khammam,Maize,Turcicum Leaf Blight,High,38,2025-04-05,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Chittoor,Maize,Fall Armyworm,High,119,2025-04-05,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Madurai,Cotton,Boll Rot,Medium,32,2025-04-05,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Coimbatore,Groundnut,Red Hairy Caterpillar,Medium,59,2025-04-06,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Belagavi,Cotton,Pink Bollworm,Low,22,2025-04-08,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Anantapur,Cotton,Boll Rot,Low,2,2025-04-09,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Coimbatore,Rice,Bacterial Leaf Blight,Low,7,2025-04-09,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Cuddalore,Maize,Turcicum Leaf Blight,Critical,174,2025-04-10,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Khammam,Groundnut,Tikka Leaf Spot,Medium,9,2025-04-13,Spray Carbendazim @ 1 g/L + Mancozeb @ 2 g/L or Hexaconazole @ 1 mL/L.
Mandya,Maize,Turcicum Leaf Blight,Medium,113,2025-04-14,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Cuddalore,Maize,Fall Armyworm,Critical,332,2025-04-15,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Chittoor,Cotton,Boll Rot,Low,3,2025-04-15,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Mahbubnagar,Cotton,Boll Rot,Low,8,2025-04-17,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Nizamabad,Sugarcane,Red Rot,Medium,100,2025-04-19,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Madurai,Cotton,Boll Rot,Low,6,2025-04-22,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Tumakuru,Rice,Bacterial Leaf Blight,Low,6,2025-04-25,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Nellore,Cotton,Boll Rot,Medium,29,2025-04-26,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Nizamabad,Rice,Brown Plant Hopper (BPH),Medium,46,2025-04-26,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Dharwad,Sugarcane,Sugarcane Aphids,High,225,2025-04-27,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Karimnagar,Maize,Turcicum Leaf Blight,High,48,2025-04-28,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Erode,Maize,Fall Armyworm,Medium,183,2025-04-28,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Thanjavur,Rice,Brown Plant Hopper (BPH),Medium,39,2025-04-28,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Erode,Sugarcane,Smut,Medium,72,2025-04-28,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Dharwad,Rice,Brown Plant Hopper (BPH),Critical,140,2025-04-29,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Belagavi,Sugarcane,Sugarcane Aphids,Medium,93,2025-05-07,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Thanjavur,Maize,Turcicum Leaf Blight,Medium,28,2025-05-09,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Guntur,Sugarcane,Sugarcane Aphids,High,244,2025-05-10,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Anantapur,Cotton,Whitefly,High,119,2025-05-12,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Tumakuru,Sugarcane,Sugarcane Aphids,High,198,2025-05-12,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Khammam,Maize,Turcicum Leaf Blight,High,116,2025-05-13,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Mahbubnagar,Sugarcane,Smut,Low,31,2025-05-14,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Dharwad,Maize,Fall Armyworm,High,281,2025-05-15,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Belagavi,Cotton,Whitefly,Medium,217,2025-05-16,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Nizamabad,Rice,Bacterial Leaf Blight,Medium,13,2025-05-16,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Madurai,Cotton,Boll Rot,Low,1,2025-05-16,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Cuddalore,Rice,Blast Disease,Low,8,2025-05-16,Spray Tricyclazole 75 WP @ 0.6 g/L; avoid excess nitrogen application.
Chittoor,Cotton,Boll Rot,Low,10,2025-05-17,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Khammam,Rice,Brown Plant Hopper (BPH),Low,11,2025-05-18,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Nizamabad,Sugarcane,Smut,Medium,66,2025-05-18,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Erode,Sugarcane,Smut,Medium,77,2025-05-29,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Anantapur,Rice,Brown Plant Hopper (BPH),Medium,42,2025-05-30,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Anantapur,Maize,Turcicum Leaf Blight,High,40,2025-05-31,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Belagavi,Rice,Bacterial Leaf Blight,Low,2,2025-05-31,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Kurnool,Maize,Fall Armyworm,Medium,44,2025-06-03,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Nellore,Cotton,Boll Rot,Medium,87,2025-06-06,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Anantapur,Sugarcane,Smut,Low,15,2025-06-06,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Shimoga,Groundnut,Red Hairy Caterpillar,Medium,37,2025-06-09,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Thanjavur,Sugarcane,Smut,Medium,99,2025-06-11,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Mandya,Rice,Blast Disease,Medium,108,2025-06-13,Spray Tricyclazole 75 WP @ 0.6 g/L; avoid excess nitrogen application.
Guntur,Groundnut,Red Hairy Caterpillar,Medium,103,2025-06-15,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Nalgonda,Groundnut,Tikka Leaf Spot,Medium,138,2025-06-16,Spray Carbendazim @ 1 g/L + Mancozeb @ 2 g/L or Hexaconazole @ 1 mL/L.
Dharwad,Sugarcane,Smut,Medium,82,2025-06-19,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Nizamabad,Cotton,Pink Bollworm,Medium,104,2025-06-21,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Chittoor,Sugarcane,Smut,Medium,25,2025-06-23,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Mandya,Sugarcane,Red Rot,High,106,2025-06-23,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Coimbatore,Rice,Blast Disease,Medium,134,2025-06-25,Spray Tricyclazole 75 WP @ 0.6 g/L; avoid excess nitrogen application.
Chittoor,Groundnut,Red Hairy Caterpillar,Medium,21,2025-06-27,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Coimbatore,Cotton,Pink Bollworm,High,50,2025-06-29,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Nizamabad,Sugarcane,Smut,Medium,30,2025-06-30,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Shimoga,Maize,Turcicum Leaf Blight,Medium,119,2025-07-01,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Guntur,Maize,Fall Armyworm,Low,5,2025-07-05,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Tumakuru,Maize,Turcicum Leaf Blight,Medium,32,2025-07-11,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Madurai,Cotton,Pink Bollworm,Medium,94,2025-07-12,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Shimoga,Sugarcane,Red Rot,Medium,89,2025-07-13,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Shimoga,Groundnut,Tikka Leaf Spot,High,151,2025-07-17,Spray Carbendazim @ 1 g/L + Mancozeb @ 2 g/L or Hexaconazole @ 1 mL/L.
Belagavi,Maize,Fall Armyworm,Low,9,2025-07-17,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Khammam,Sugarcane,Sugarcane Aphids,Low,4,2025-07-18,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Guntur,Maize,Fall Armyworm,Low,3,2025-07-21,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Cuddalore,Sugarcane,Red Rot,Medium,73,2025-07-22,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Khammam,Groundnut,Tikka Leaf Spot,High,65,2025-07-24,Spray Carbendazim @ 1 g/L + Mancozeb @ 2 g/L or Hexaconazole @ 1 mL/L.
Nellore,Groundnut,Bud Necrosis,Medium,37,2025-07-29,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Shimoga,Maize,Turcicum Leaf Blight,Low,23,2025-07-29,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Mahbubnagar,Cotton,Pink Bollworm,High,17,2025-07-30,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Erode,Sugarcane,Smut,Low,14,2025-07-31,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Coimbatore,Cotton,Pink Bollworm,Low,27,2025-07-31,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Madurai,Cotton,Pink Bollworm,Low,24,2025-07-31,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Tumakuru,Sugarcane,Sugarcane Aphids,Low,10,2025-08-02,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Thanjavur,Groundnut,Red Hairy Caterpillar,Critical,90,2025-08-04,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Thanjavur,Sugarcane,Sugarcane Aphids,Low,8,2025-08-04,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Nalgonda,Maize,Fall Armyworm,Low,7,2025-08-05,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Mahbubnagar,Rice,Bacterial Leaf Blight,Critical,284,2025-08-06,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Shimoga,Groundnut,Bud Necrosis,Medium,27,2025-08-06,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Nellore,Maize,Fall Armyworm,Low,7,2025-08-08,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Coimbatore,Sugarcane,Sugarcane Aphids,Low,5,2025-08-10,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Nizamabad,Groundnut,Bud Necrosis,Low,10,2025-08-12,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Dharwad,Maize,Fall Armyworm,Low,4,2025-08-21,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Khammam,Cotton,Whitefly,Low,11,2025-08-21,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Nizamabad,Maize,Fall Armyworm,Medium,37,2025-08-26,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Cuddalore,Maize,Turcicum Leaf Blight,Medium,105,2025-08-27,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Nellore,Sugarcane,Smut,Medium,80,2025-09-11,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Dharwad,Sugarcane,Smut,Low,19,2025-09-12,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Coimbatore,Cotton,Boll Rot,Critical,158,2025-09-12,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Anantapur,Rice,Brown Plant Hopper (BPH),Low,7,2025-09-13,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Mahbubnagar,Rice,Bacterial Leaf Blight,High,231,2025-09-14,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Nalgonda,Rice,Brown Plant Hopper (BPH),Medium,46,2025-09-14,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Nalgonda,Rice,Brown Plant Hopper (BPH),Medium,101,2025-09-17,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Tumakuru,Maize,Turcicum Leaf Blight,Critical,221,2025-09-17,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Nellore,Maize,Fall Armyworm,Low,6,2025-09-20,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Nalgonda,Rice,Bacterial Leaf Blight,Medium,134,2025-09-23,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Karimnagar,Rice,Blast Disease,High,122,2025-09-24,Spray Tricyclazole 75 WP @ 0.6 g/L; avoid excess nitrogen application.
Mandya,Sugarcane,Smut,Critical,182,2025-09-25,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Kurnool,Sugarcane,Sugarcane Aphids,Low,13,2025-09-26,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Mandya,Sugarcane,Smut,Low,20,2025-09-26,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Dharwad,Groundnut,Tikka Leaf Spot,Medium,113,2025-10-05,Spray Carbendazim @ 1 g/L + Mancozeb @ 2 g/L or Hexaconazole @ 1 mL/L.
Madurai,Maize,Fall Armyworm,Low,5,2025-10-05,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Thanjavur,Groundnut,Red Hairy Caterpillar,Critical,72,2025-10-12,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Belagavi,Maize,Fall Armyworm,Low,7,2025-10-13,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Guntur,Sugarcane,Red Rot,Medium,87,2025-10-16,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Cuddalore,Sugarcane,Sugarcane Aphids,Low,7,2025-10-17,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Mahbubnagar,Sugarcane,Red Rot,Medium,30,2025-10-19,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Anantapur,Groundnut,Bud Necrosis,Low,9,2025-10-21,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Shimoga,Groundnut,Red Hairy Caterpillar,Low,11,2025-10-22,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Erode,Cotton,Pink Bollworm,Medium,30,2025-10-23,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Karimnagar,Maize,Fall Armyworm,Low,9,2025-10-26,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Tumakuru,Rice,Bacterial Leaf Blight,Medium,149,2025-10-27,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Mandya,Cotton,Whitefly,Low,12,2025-10-31,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Guntur,Maize,Turcicum Leaf Blight,Critical,123,2025-11-01,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Guntur,Wheat,Stem Rust,Medium,58,2025-11-02,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Mahbubnagar,Cotton,Pink Bollworm,Low,31,2025-11-02,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Nizamabad,Wheat,Leaf Blight,Medium,33,2025-11-04,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Guntur,Maize,Turcicum Leaf Blight,Low,6,2025-11-05,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Tumakuru,Wheat,Leaf Blight,Medium,78,2025-11-06,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Karimnagar,Rice,Brown Plant Hopper (BPH),Medium,29,2025-11-08,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Cuddalore,Maize,Fall Armyworm,Low,3,2025-11-11,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Tumakuru,Wheat,Stem Rust,Low,24,2025-11-12,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Karimnagar,Groundnut,Red Hairy Caterpillar,Critical,107,2025-11-14,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Belagavi,Sugarcane,Sugarcane Aphids,Medium,39,2025-11-15,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Madurai,Wheat,Leaf Blight,Medium,113,2025-11-16,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Coimbatore,Sugarcane,Smut,Medium,81,2025-11-16,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Nizamabad,Sugarcane,Sugarcane Aphids,Medium,15,2025-11-16,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Thanjavur,Wheat,Stem Rust,Medium,93,2025-11-17,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Cuddalore,Cotton,Whitefly,Medium,30,2025-11-18,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Nizamabad,Maize,Fall Armyworm,Medium,24,2025-11-18,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Guntur,Cotton,Pink Bollworm,Medium,115,2025-11-19,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Cuddalore,Groundnut,Bud Necrosis,Medium,23,2025-11-19,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Thanjavur,Sugarcane,Red Rot,High,81,2025-11-21,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Belagavi,Wheat,Leaf Blight,Critical,147,2025-11-23,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Chittoor,Maize,Turcicum Leaf Blight,Medium,81,2025-11-24,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Nalgonda,Maize,Fall Armyworm,Low,9,2025-11-26,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Shimoga,Maize,Turcicum Leaf Blight,Low,21,2025-11-26,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Mandya,Wheat,Stem Rust,Medium,116,2025-11-26,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Chittoor,Sugarcane,Smut,Medium,89,2025-11-26,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Nalgonda,Cotton,Whitefly,Low,11,2025-11-27,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Erode,Sugarcane,Sugarcane Aphids,Low,6,2025-11-27,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Nellore,Cotton,Pink Bollworm,Medium,56,2025-11-30,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Mahbubnagar,Cotton,Boll Rot,Low,4,2025-12-02,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Madurai,Groundnut,Bud Necrosis,Medium,243,2025-12-03,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Guntur,Wheat,Leaf Blight,Critical,161,2025-12-04,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Shimoga,Wheat,Leaf Blight,Critical,203,2025-12-04,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
